date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:44:20	2609/2609	---MCZ	404	error ('Not%20Found')	text/html	etag:1663735077-ssl-df	https://goldenpackersmovers.com/robots.txt		(from )
23:44:22	59852/59852	---MCZ	200	added ('OK')	text/html	etag:%2287cce1f12e753e51f68b4b220e7f077a-ssl-df%22	https://goldenpackersmovers.com/	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/index.html	(from )
23:44:23	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://goldenpackersmovers.com/)
23:44:23	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://goldenpackersmovers.com/)
23:44:24	16964/16964	---MCZ	200	added ('OK')	text/css	etag:%22eebe6b4410416e4c882b7eb45fa5a1a2-ssl-df%22	https://goldenpackersmovers.com/lib/animate/animate.min.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/lib/animate/animate.min.css	(from https://goldenpackersmovers.com/)
23:44:25	2941/2941	---MCZ	200	added ('OK')	text/css	etag:%22edcf2000c42ae915663dfadb56151f81-ssl-df%22	https://goldenpackersmovers.com/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/lib/owlcarousel/assets/owl.carousel.min.css	(from https://goldenpackersmovers.com/)
23:44:25	185070/185070	---M--	200	added ('OK')	image/jpeg	etag:%22e3e23a4375ed174de75054042a4cd198-ssl%22	https://goldenpackersmovers.com/image2/final.jpg	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/image2/final.jpg	(from https://goldenpackersmovers.com/)
23:44:25	232050/232050	---MCZ	200	added ('OK')	text/css	etag:%2214740f17d8ede030526048cbafd911fc-ssl-df%22	https://goldenpackersmovers.com/css/bootstrap.min.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/css/bootstrap.min.css	(from https://goldenpackersmovers.com/)
23:44:26	13260/13260	---MCZ	200	added ('OK')	text/css	etag:%22c25cecf4f83c155d28f3ca0346c5ce5e-ssl-df%22	https://goldenpackersmovers.com/css/style.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/goldenpackersmovers.com/css/style.css	(from https://goldenpackersmovers.com/)
23:44:26	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:54%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Golden%20Packers%20and%20Movers%201/maxcdn.bootstrapcdn.com/font-awesome/4.5.0/css/font-awesome.min.css	(from https://goldenpackersmovers.com/)
